,City,tweet_created_at,hashtags,text,screen_name,user_id,user_created_at,user_friends_count,user_statuses_count,tweet_id,compound,neg,pos,neu
5387,Santa Barbara,Tue Dec 19 23:27:37 +0000 2017,"[{'text': 'ThomasFire', 'indices': [17, 28]}]","RT @EliasonMike: #ThomasFire- With the latest Star Wars movie playing, The Arlington Theatre’s marquee in Santa Barbara has an extra specia…",MarlieTweetin,905265391,Fri Oct 26 04:09:12 +0000 2012,921,6014,943261569978318848,-0.4215,0.148,0.074,0.779
5388,Santa Barbara,Tue Dec 19 23:27:30 +0000 2017,[],"RT @CivilEats: More than 100,000 people have been evacuated from the Thomas Fire. But farmworkers have stayed on the job, breathing in smok…",AutumnSpanne,336615953,Sat Jul 16 16:10:21 +0000 2011,544,1879,943261539204718592,-0.34,0.098,0.0,0.902
5389,Santa Barbara,Tue Dec 19 23:27:30 +0000 2017,[],The Massive Thomas Fire Reminds Us We Need to Get Our Shit Together https://t.co/aiUu4UgJY9 via @EARTH3R,DebtTrut,251927949,Mon Feb 14 03:43:22 +0000 2011,8972,184684,943261539141849088,-0.7184,0.3,0.0,0.7
5390,Santa Barbara,Tue Dec 19 23:27:29 +0000 2017,[],Our Santa Barbara and Los Angeles @antiochmfa programs worked together to serve students during the fire crisis aft… https://t.co/ArkuoyIz2Z,AntiochLA,63169939,Wed Aug 05 15:55:08 +0000 2009,1611,5362,943261536344203265,-0.7579,0.277,0.0,0.723
5391,Santa Barbara,Tue Dec 19 23:27:26 +0000 2017,"[{'text': 'Ventura', 'indices': [37, 45]}, {'text': 'ThomasFire', 'indices': [66, 77]}]",Interesting RT @WatchdogVentura Will #Ventura follow up emergency #ThomasFire success with equally successful recov… https://t.co/7vhExPfQ3j,DonNadeau,27711852,Mon Mar 30 19:43:12 +0000 2009,25245,68881,943261523744624641,0.8225,0.109,0.429,0.462
5392,Santa Barbara,Tue Dec 19 23:27:12 +0000 2017,[],"RT @Cal_OES: The Local Assistance Center (LAC) in Ventura County is assisting residents impacted by the Thomas Fire, now the third largest…",NikaBaNika,286053188,Fri Apr 22 07:56:17 +0000 2011,123,121,943261462113349632,-0.34,0.103,0.0,0.897
5393,Santa Barbara,Tue Dec 19 23:26:53 +0000 2017,[],RT @latimes: Gusty winds expected to return this week as Thomas fire continues to grow https://t.co/iHIXv6Up3B https://t.co/fjzYQgm15S,SamValley,31603074,Thu Apr 16 02:11:15 +0000 2009,4362,215498,943261385336614912,-0.34,0.13,0.0,0.87
5394,Santa Barbara,Tue Dec 19 23:26:40 +0000 2017,[],"RT @marklanebiz: IMAGE: A C-130J Hercules drops fire retardant chemicals onto a ridge line above Santa Barbara, Calif., Dec. 13, 2017, in a…",Kowalski_24_,2892681741,Tue Nov 25 23:50:56 +0000 2014,502,20220,943261327249862657,-0.34,0.107,0.0,0.893
5395,Santa Barbara,Tue Dec 19 23:26:37 +0000 2017,[],RT @IngrahamAngle: Many firefighters say they’ve never encountered a situation like this in their careers. Many are on three-week shifts...…,CelticCoyote,614500070,Thu Jun 21 19:13:38 +0000 2012,7479,107123,943261315321221121,-0.2755,0.105,0.0,0.895
5396,Santa Barbara,Tue Dec 19 23:25:08 +0000 2017,"[{'text': 'ThomasFire', 'indices': [17, 28]}]","RT @EliasonMike: #ThomasFire- With the latest Star Wars movie playing, The Arlington Theatre’s marquee in Santa Barbara has an extra specia…",kt_lin97,2354280787,Fri Feb 21 05:15:51 +0000 2014,374,4507,943260942459998208,-0.4215,0.148,0.074,0.779
