,State,ZIP_Code,Population,Male,Female,Median Age,Race,Poverty Count,Poverty Rate,Household Income,Per Capita Income,Unemployment Count,Unemployment Rate,Total housing units,Median year structure built,Median Value ($) for Housing Units,White alone race,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Some other race alone,Lat,Lng,City,county
70,California,90090,0.0,0.0,0.0,-666666666.0,0.0,0.0,,-666666666.0,-666666666.0,0.0,,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,34.0726555,-118.2441891,Echo Park,DODGERTOWN
71,California,90094,8072.0,3691.0,4381.0,34.3,8072.0,910.0,11.273538156590684,121087.0,69563.0,235.0,2.911298315163528,3704.0,2005.0,754000.0,4064.0,1053.0,0.0,2219.0,213.0,33.97448060000001,-118.4177707,Playa Vista,Los Angeles
72,California,90095,0.0,0.0,0.0,-666666666.0,0.0,0.0,,-666666666.0,-666666666.0,0.0,,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,34.070264,-118.4440562,Westwood,Los Angeles
73,California,90201,102786.0,51765.0,51021.0,28.5,102786.0,28850.0,28.068024828284006,38244.0,12089.0,5301.0,5.157317144358181,24753.0,1957.0,317900.0,73345.0,1019.0,354.0,851.0,25707.0,33.96672119999999,-118.1766294,Bell Gardens,Los Angeles County
74,California,90210,20957.0,9904.0,11053.0,47.5,20957.0,1903.0,9.080498162904997,146250.0,103832.0,657.0,3.134990695233096,9549.0,1962.0,2000001.0,17678.0,250.0,8.0,2020.0,304.0,34.1030032,-118.4104684,Beverly Hills,Los Angeles County
75,California,90211,8129.0,3777.0,4352.0,41.0,8129.0,878.0,10.800836511255998,73659.0,59780.0,329.0,4.047238282691598,4143.0,1951.0,1190000.0,6595.0,129.0,9.0,912.0,155.0,34.0661071,-118.3841777,Beverly Hills,Los Angeles County
76,California,90212,12915.0,5747.0,7168.0,41.0,12915.0,1199.0,9.283778552071235,100183.0,71920.0,583.0,4.51413085559427,6235.0,1943.0,1578800.0,10629.0,124.0,24.0,933.0,210.0,34.0617109,-118.4017053,Beverly Hills,Los Angeles County
77,California,90220,51271.0,24361.0,26910.0,32.1,51271.0,11145.0,21.737434417116887,50938.0,17104.0,3374.0,6.580718144760196,14181.0,1956.0,248100.0,17022.0,19231.0,211.0,670.0,12692.0,33.8803536,-118.2351192,Compton,Los Angeles County
78,California,90221,53922.0,26571.0,27351.0,28.8,53922.0,14166.0,26.271280738844997,43304.0,13314.0,3341.0,6.195986795741998,12754.0,1952.0,275400.0,22994.0,11319.0,259.0,462.0,17733.0,33.8890686,-118.2000277,Compton,Los Angeles County
79,California,90222,32195.0,15562.0,16633.0,27.2,32195.0,9212.0,28.613138686131386,37730.0,12836.0,1872.0,5.81456747942227,8159.0,1957.0,258600.0,12236.0,8798.0,194.0,257.0,10251.0,33.9111458,-118.2351192,Compton,Los Angeles County
80,California,90230,32692.0,15849.0,16843.0,39.1,32692.0,3665.0,11.21069374770586,73469.0,39690.0,1413.0,4.3221583261960115,13804.0,1965.0,603900.0,20504.0,2754.0,231.0,5206.0,2512.0,33.9933257,-118.3987842,Culver City,Los Angeles County
